PIXEL,DESCR,COUNT_
"169134",ABERS CREEK BASIN,"17"
"170134",ABERS CREEK BASIN,"17"
"168135",ABERS CREEK BASIN,"17"
"169135",ABERS CREEK BASIN,"17"
"170135",ABERS CREEK BASIN,"17"
"171135",ABERS CREEK BASIN,"17"
"168136",ABERS CREEK BASIN,"17"
"169136",ABERS CREEK BASIN,"17"
"170136",ABERS CREEK BASIN,"17"
"171136",ABERS CREEK BASIN,"17"
"169137",ABERS CREEK BASIN,"17"
"170137",ABERS CREEK BASIN,"17"
"171137",ABERS CREEK BASIN,"17"
"170138",ABERS CREEK BASIN,"17"
"171138",ABERS CREEK BASIN,"17"
"169139",ABERS CREEK BASIN,"17"
"170139",ABERS CREEK BASIN,"17"
"171139",ABERS CREEK BASIN,"17"
"170140",ABERS CREEK BASIN,"17"
"171140",ABERS CREEK BASIN,"17"
"169141",ABERS CREEK BASIN,"17"
"170141",ABERS CREEK BASIN,"17"
"169142",ABERS CREEK BASIN,"17"
"170142",ABERS CREEK BASIN,"17"
"171114",ALLEGHENY RIVER BASIN,"177"
"172114",ALLEGHENY RIVER BASIN,"177"
"171115",ALLEGHENY RIVER BASIN,"177"
"172115",ALLEGHENY RIVER BASIN,"177"
"171116",ALLEGHENY RIVER BASIN,"177"
"172116",ALLEGHENY RIVER BASIN,"177"
"173116",ALLEGHENY RIVER BASIN,"177"
"171117",ALLEGHENY RIVER BASIN,"177"
"172117",ALLEGHENY RIVER BASIN,"177"
"173117",ALLEGHENY RIVER BASIN,"177"
"170118",ALLEGHENY RIVER BASIN,"177"
"171118",ALLEGHENY RIVER BASIN,"177"
"172118",ALLEGHENY RIVER BASIN,"177"
"169119",ALLEGHENY RIVER BASIN,"177"
"170119",ALLEGHENY RIVER BASIN,"177"
"171119",ALLEGHENY RIVER BASIN,"177"
"166120",ALLEGHENY RIVER BASIN,"177"
"167120",ALLEGHENY RIVER BASIN,"177"
"168120",ALLEGHENY RIVER BASIN,"177"
"169120",ALLEGHENY RIVER BASIN,"177"
"170120",ALLEGHENY RIVER BASIN,"177"
"166121",ALLEGHENY RIVER BASIN,"177"
"167121",ALLEGHENY RIVER BASIN,"177"
"168121",ALLEGHENY RIVER BASIN,"177"
"169121",ALLEGHENY RIVER BASIN,"177"
"166122",ALLEGHENY RIVER BASIN,"177"
"165123",ALLEGHENY RIVER BASIN,"177"
"165124",ALLEGHENY RIVER BASIN,"177"
"162125",ALLEGHENY RIVER BASIN,"177"
"161126",ALLEGHENY RIVER BASIN,"177"
"162126",ALLEGHENY RIVER BASIN,"177"
"163126",ALLEGHENY RIVER BASIN,"177"
"160127",ALLEGHENY RIVER BASIN,"177"
"161127",ALLEGHENY RIVER BASIN,"177"
"162127",ALLEGHENY RIVER BASIN,"177"
"163127",ALLEGHENY RIVER BASIN,"177"
"164127",ALLEGHENY RIVER BASIN,"177"
"165127",ALLEGHENY RIVER BASIN,"177"
"166127",ALLEGHENY RIVER BASIN,"177"
"167127",ALLEGHENY RIVER BASIN,"177"
"168127",ALLEGHENY RIVER BASIN,"177"
"160128",ALLEGHENY RIVER BASIN,"177"
"161128",ALLEGHENY RIVER BASIN,"177"
"162128",ALLEGHENY RIVER BASIN,"177"
"163128",ALLEGHENY RIVER BASIN,"177"
"164128",ALLEGHENY RIVER BASIN,"177"
"165128",ALLEGHENY RIVER BASIN,"177"
"166128",ALLEGHENY RIVER BASIN,"177"
"167128",ALLEGHENY RIVER BASIN,"177"
"168128",ALLEGHENY RIVER BASIN,"177"
"158129",ALLEGHENY RIVER BASIN,"177"
"159129",ALLEGHENY RIVER BASIN,"177"
"160129",ALLEGHENY RIVER BASIN,"177"
"161129",ALLEGHENY RIVER BASIN,"177"
"162129",ALLEGHENY RIVER BASIN,"177"
"163129",ALLEGHENY RIVER BASIN,"177"
"166129",ALLEGHENY RIVER BASIN,"177"
"167129",ALLEGHENY RIVER BASIN,"177"
"152130",ALLEGHENY RIVER BASIN,"177"
"153130",ALLEGHENY RIVER BASIN,"177"
"158130",ALLEGHENY RIVER BASIN,"177"
"159130",ALLEGHENY RIVER BASIN,"177"
"160130",ALLEGHENY RIVER BASIN,"177"
"161130",ALLEGHENY RIVER BASIN,"177"
"162130",ALLEGHENY RIVER BASIN,"177"
"163130",ALLEGHENY RIVER BASIN,"177"
"152131",ALLEGHENY RIVER BASIN,"177"
"153131",ALLEGHENY RIVER BASIN,"177"
"154131",ALLEGHENY RIVER BASIN,"177"
"155131",ALLEGHENY RIVER BASIN,"177"
"159131",ALLEGHENY RIVER BASIN,"177"
"160131",ALLEGHENY RIVER BASIN,"177"
"145132",ALLEGHENY RIVER BASIN,"177"
"146132",ALLEGHENY RIVER BASIN,"177"
"147132",ALLEGHENY RIVER BASIN,"177"
"151132",ALLEGHENY RIVER BASIN,"177"
"152132",ALLEGHENY RIVER BASIN,"177"
"153132",ALLEGHENY RIVER BASIN,"177"
"154132",ALLEGHENY RIVER BASIN,"177"
"155132",ALLEGHENY RIVER BASIN,"177"
"156132",ALLEGHENY RIVER BASIN,"177"
"158132",ALLEGHENY RIVER BASIN,"177"
"159132",ALLEGHENY RIVER BASIN,"177"
"160132",ALLEGHENY RIVER BASIN,"177"
"145133",ALLEGHENY RIVER BASIN,"177"
"146133",ALLEGHENY RIVER BASIN,"177"
"147133",ALLEGHENY RIVER BASIN,"177"
"149133",ALLEGHENY RIVER BASIN,"177"
"150133",ALLEGHENY RIVER BASIN,"177"
"151133",ALLEGHENY RIVER BASIN,"177"
"152133",ALLEGHENY RIVER BASIN,"177"
"153133",ALLEGHENY RIVER BASIN,"177"
"154133",ALLEGHENY RIVER BASIN,"177"
"155133",ALLEGHENY RIVER BASIN,"177"
"156133",ALLEGHENY RIVER BASIN,"177"
