PIXEL,LABEL
115132,
115133,
115134,
115135,
116132,
116133,Findlay Township
116134,Findlay Township
116135,
116136,
117131,
117132,Findlay Township
117133,Findlay Township
117134,Findlay Township
117135,Findlay Township
117136,Findlay Township
117137,
118130,
118131,Findlay Township
118132,Findlay Township
118133,Findlay Township
118134,Findlay Township
118135,Findlay Township
118136,Findlay Township
118137,Findlay Township
118138,
119129,
119130,Findlay Township
119131,Findlay Township
119132,Findlay Township
119133,Findlay Township
119134,Findlay Township
119135,Findlay Township
119136,Findlay Township
119137,Findlay Township
119138,Findlay Township
119139,
120128,
120129,Findlay Township
120130,Findlay Township
120131,Findlay Township
120132,Findlay Township
120133,Findlay Township
120134,Findlay Township
120135,Findlay Township
120136,Findlay Township
120137,Findlay Township
120138,Findlay Township
120139,Findlay Township
120140,
121127,
121128,Findlay Township
121129,Findlay Township
121130,Findlay Township
121131,Findlay Township
121132,Findlay Township
121133,Findlay Township
121134,Findlay Township
121135,Findlay Township
121136,Findlay Township
121137,Findlay Township
121138,Findlay Township
121139,Findlay Township
121139,North Fayette Township
121140,Findlay Township
121140,North Fayette Township
121141,
121142,
122126,
122127,
122128,Findlay Township
122129,Findlay Township
122130,Findlay Township
122131,Findlay Township
122132,Findlay Township
122133,Findlay Township
122134,Findlay Township
122135,Findlay Township
122136,Findlay Township
122137,Findlay Township
122138,Findlay Township
122138,North Fayette Township
122139,Findlay Township
122139,North Fayette Township
122140,North Fayette Township
122141,North Fayette Township
122142,
122143,
123125,
123126,
123127,Findlay Township
123127,Moon Township
123128,Findlay Township
123128,Moon Township
123129,Findlay Township
123130,Findlay Township
123131,Findlay Township
123132,Findlay Township
123133,Findlay Township
123134,Findlay Township
123135,Findlay Township
123136,Findlay Township
123137,Findlay Township
123138,Findlay Township
123138,North Fayette Township
123139,North Fayette Township
123140,North Fayette Township
123141,North Fayette Township
123142,North Fayette Township
123143,
123144,
124124,
124125,
124126,Moon Township
124127,Moon Township
124128,Findlay Township
124128,Moon Township
124129,Findlay Township
124129,Moon Township
124130,Findlay Township
124130,Moon Township
124131,Findlay Township
124132,Findlay Township
124133,Findlay Township
124134,Findlay Township
124135,Findlay Township
124136,Findlay Township
124137,Findlay Township
124137,North Fayette Township
124138,Findlay Township
124138,North Fayette Township
124139,North Fayette Township
124140,North Fayette Township
124141,North Fayette Township
124142,North Fayette Township
124143,North Fayette Township
124144,
124145,
124146,
125124,
125125,Crescent Township
125125,Moon Township
125126,Moon Township
125127,Moon Township
125128,Moon Township
125129,Moon Township
125130,Findlay Township
125130,Moon Township
125131,Findlay Township
125131,Moon Township
125132,Findlay Township
125133,Findlay Township
125134,Findlay Township
125135,Findlay Township
